koen,vaegt,hoejde,alder,ryger
Mand,65,171,79,NA
Mand,89,176,51,Ryger
Mand,85,NA,38,Ryger ikke
Kvinde,72,164,80,Ryger ikke
Mand,65,184,25,Ryger
Mand,86,188,25,Ryger
Kvinde,87,168,75,Ryger ikke
Kvinde,65,172,19,Ryger
Mand,79,189,23,NA
Kvinde,64,155,52,Ryger ikke
Mand,68,178,23,Ryger
Kvinde,60,155,66,Ryger
Kvinde,57,160,66,Ryger ikke
Mand,70,174,51,Ryger
Kvinde,61,170,48,Ryger
Kvinde,68,165,38,Ryger ikke
Mand,79.5,185,23,Ryger ikke
Mand,75,176,31,Ryger
Kvinde,50,162,37,Ryger ikke
Kvinde,60,156,34,Ryger
Mand,76,182,26,Ryger
Kvinde,75,165,61,Ryger ikke
Kvinde,51,162,38,Ryger
Mand,88,188,35,Ryger ikke
Mand,72,177,39,Ryger ikke
Mand,65,171,27,Ryger ikke
Kvinde,62,167,52,Ryger
Kvinde,64,182,37,Ryger
Kvinde,63,168,42,Ryger ikke
Mand,80,187,53,Ryger
Kvinde,57,167,26,Ryger ikke
Kvinde,56,159,36,Ryger
Mand,68,189,26,Ryger ikke
Mand,110,180,47,Ryger ikke
Mand,100,188,36,Ryger ikke
Mand,71,174,29,Ryger
Mand,70,180,40,Ryger ikke
Mand,NA,182,34,Ryger
Kvinde,NA,175,38,Ryger ikke
Kvinde,48,161,61,Ryger
Kvinde,67,164,34,Ryger
Kvinde,66,173,22,Ryger
Kvinde,74,165,40,Ryger ikke
Kvinde,64,167,50,Ryger ikke
Kvinde,70,162,63,Ryger
Kvinde,52,164,42,Ryger
Mand,93,183,35,Ryger
Mand,88,NA,48,Ryger ikke
Kvinde,68,170,33,Ryger ikke
Mand,84,187,31,Ryger
Kvinde,55,165,30,Ryger ikke
Mand,85,189,22,Ryger
Kvinde,71,165,28,Ryger
Kvinde,54,160,35,Ryger
Kvinde,60,172,25,Ryger
Kvinde,63,167,71,Ryger ikke
Mand,75,192,23,Ryger ikke
Mand,87,182,27,Ryger
Mand,60,165,55,Ryger
Mand,67,170,75,Ryger ikke
Kvinde,57,168,31,Ryger
Mand,78,183,40,Ryger
Kvinde,68,173,52,Ryger ikke
Kvinde,65,162,25,Ryger
Kvinde,57,161,27,Ryger
Mand,67,182,27,NA
Kvinde,51,163,27,Ryger ikke
Kvinde,67,165,43,Ryger
Mand,66,172,23,Ryger ikke
Kvinde,62,158,24,Ryger
NA,NA,NA,NA,Ryger
Mand,74.5,164,74,Ryger
Kvinde,65,180,32,Ryger
Kvinde,65,165,20,Ryger ikke
Mand,67,190,32,Ryger
Mand,92,187,61,Ryger
Mand,80,185,32,Ryger
Mand,90,186,34,Ryger
Mand,63,175,49,Ryger
Mand,68,NA,75,Ryger ikke
Kvinde,80,162.5,44,Ryger
Mand,80,180,68,Ryger
Kvinde,61,166,59,Ryger ikke
Kvinde,60,149,46,Ryger ikke
Kvinde,56,175,24,Ryger
Mand,62,171,34,Ryger ikke
Kvinde,51,164,27,Ryger
Mand,NA,178,22,Ryger
Kvinde,94,160,51,Ryger ikke
Mand,74,179,22,Ryger ikke
Mand,69,175,21,Ryger ikke
Mand,84,177,59,Ryger ikke
Kvinde,55,165,28,Ryger ikke
Mand,76,NA,24,Ryger
Mand,70,180,39,Ryger
Mand,69,175,42,Ryger
Kvinde,58,170,20,Ryger ikke
Kvinde,60,163,66,Ryger
Kvinde,74,178,51,Ryger ikke
Kvinde,61,159,44,Ryger
Kvinde,58,175,24,Ryger
Kvinde,53,165,20,Ryger ikke
Mand,98,186,34,Ryger
Kvinde,60,175,21,Ryger ikke
Kvinde,63,172,45,Ryger
Mand,88,181,50,Ryger ikke
Mand,85,194,23,Ryger ikke
NA,NA,NA,NA,Ryger ikke
Kvinde,55,175,20,Ryger ikke
Kvinde,55,168,27,Ryger ikke
Kvinde,NA,167,22,Ryger
Kvinde,49.5,159,60,Ryger
Mand,72,176.5,23,Ryger
Kvinde,80,170,47,Ryger ikke
Kvinde,70,160,27,Ryger
Mand,106,182,67,Ryger
Kvinde,70,160,56,Ryger ikke
Mand,71,181,29,Ryger
Mand,80,180,35,Ryger ikke
Mand,70,177,32,Ryger
Mand,75,176,26,Ryger ikke
Mand,95,179,51,Ryger ikke
Mand,75,195,30,Ryger
Mand,80,188,38,Ryger
Kvinde,65,175,30,Ryger ikke
Kvinde,NA,169,26,Ryger
Mand,82,180,45,Ryger
Mand,55,175,82,Ryger ikke
Kvinde,75,166,67,Ryger ikke
Kvinde,65,160,24,Ryger ikke
Kvinde,62,173,25,Ryger ikke
Kvinde,52,168,55,Ryger
Kvinde,90,158,77,Ryger ikke
Mand,69,170,50,Ryger ikke
Kvinde,54,169,23,Ryger ikke
NA,NA,NA,NA,NA
Kvinde,70,189,33,Ryger
Kvinde,58,160,32,Ryger
Mand,68,165,78,Ryger ikke
Kvinde,64,167,75,Ryger ikke
Mand,78,178,21,Ryger
Mand,60,NA,26,Ryger
Kvinde,82,167,82,Ryger
Mand,90,189,37,Ryger ikke
Kvinde,59,169,44,Ryger ikke
Kvinde,85,167,52,Ryger ikke
Kvinde,95,175,39,Ryger ikke
Mand,75,170,36,Ryger ikke
Mand,85,183,27,Ryger
Mand,76,183,24,Ryger ikke
Kvinde,67,178,37,Ryger ikke
Mand,91,186,79,Ryger ikke
Kvinde,55,164,18,Ryger ikke
Kvinde,60,164,65,Ryger ikke
Mand,90,195,23,Ryger ikke
Mand,68,183,24,Ryger ikke
Kvinde,56,168,28,Ryger ikke
Kvinde,64,180,27,Ryger
Kvinde,60,168,87,Ryger ikke
Mand,65,170,51,Ryger ikke
Mand,71,190,21,Ryger
Mand,71,178,32,Ryger
Kvinde,78,174,36,Ryger ikke
Kvinde,66,180,34,Ryger ikke
Mand,90,178,26,Ryger
Kvinde,50,165,25,Ryger
Kvinde,72,174,31,Ryger
Mand,75,179,23,Ryger ikke
Kvinde,59,172,31,Ryger ikke
Kvinde,55,164,23,Ryger ikke
Mand,80,180,53,Ryger ikke
Mand,74,166,50,Ryger ikke
Kvinde,73,182,22,Ryger ikke
Mand,89,NA,33,Ryger
Kvinde,60,169,25,Ryger
Kvinde,68,168,78,Ryger
Kvinde,52,153,45,Ryger
Kvinde,61,168,86,Ryger ikke
Mand,78,182,23,Ryger
Kvinde,80,169,69,Ryger
Mand,70,180,37,Ryger ikke
Mand,74,185,24,Ryger ikke
Mand,70,167,44,Ryger
Kvinde,59,168,55,Ryger
Mand,74,174,61,Ryger ikke
Mand,95,185,41,Ryger ikke
Mand,81,190,30,Ryger ikke
Kvinde,64,174,28,Ryger
Kvinde,80,177,24,Ryger
Kvinde,66,172,62,Ryger
Kvinde,NA,180,35,Ryger
Kvinde,55.5,168,20,Ryger
Kvinde,63,165,29,Ryger
Kvinde,58,170,22,Ryger
Mand,100,174,50,Ryger ikke
Kvinde,51,162,20,Ryger
Mand,88,182,85,NA
Kvinde,65,178,30,Ryger
Kvinde,66.5,178,29,Ryger
Mand,68,176,31,Ryger
Kvinde,65,170,19,Ryger
Mand,101,190,44,Ryger
Kvinde,62,171,29,Ryger ikke
Kvinde,65,173,22,Ryger
Kvinde,68,168,49,Ryger ikke
Kvinde,57,163,43,Ryger
Mand,85,174,26,Ryger
Mand,79,186,23,Ryger ikke
Kvinde,54,160,22,Ryger ikke
Mand,73,178,43,Ryger
Kvinde,70,179,45,Ryger ikke
Kvinde,67,167,55,Ryger ikke
Kvinde,54,172,21,Ryger
Mand,65,178,25,Ryger
Kvinde,85,170,59,Ryger
Mand,75,176,44,Ryger
Kvinde,78,184,48,Ryger ikke
Mand,92,186,25,Ryger
Kvinde,56,171,20,Ryger ikke
Kvinde,66.5,160,27,Ryger
Kvinde,74,167,52,Ryger ikke
Mand,74,184,28,Ryger
Kvinde,89,173,25,Ryger ikke
Mand,90,181,27,Ryger
Mand,90,184,42,Ryger
Mand,92.5,193,18,Ryger
Mand,62,163,48,Ryger
Mand,80,NA,44,NA
Mand,53,167,27,Ryger
Mand,74,168,83,Ryger ikke
Kvinde,NA,169,23,Ryger ikke
Mand,82,180,43,Ryger
Mand,NA,NA,31,Ryger ikke
Mand,92,187,33,Ryger ikke
Mand,93,192,35,Ryger
Kvinde,88,166,79,Ryger ikke
Kvinde,78,165,76,Ryger
Mand,90,182,74,Ryger ikke
Kvinde,89,165,64,Ryger ikke
Kvinde,53,168,45,Ryger ikke
Kvinde,89,164,31,Ryger
Kvinde,54,173,23,Ryger ikke
Kvinde,78,171,25,Ryger ikke
Mand,74,172,83,Ryger
Kvinde,54,165,27,Ryger ikke
Mand,76,184,22,Ryger
Kvinde,NA,NA,90,NA
Kvinde,73,170,32,Ryger
Mand,80,174,28,Ryger
Mand,85,194,27,Ryger ikke
Mand,69,168,31,Ryger
Kvinde,60,176,21,Ryger ikke
Mand,69,172,65,Ryger
Kvinde,71,168,57,Ryger
Kvinde,59,164,27,Ryger
Kvinde,75,167,55,Ryger ikke
Kvinde,75,172,23,Ryger ikke
Mand,80,180,77,Ryger
Mand,71,178,27,Ryger ikke
Kvinde,NA,163,24,Ryger
Kvinde,64,172,59,Ryger ikke
Kvinde,63,170,25,Ryger
Kvinde,90,177,29,Ryger
Mand,75,169,42,Ryger ikke
Mand,75,180,42,Ryger
Kvinde,92,164,68,Ryger ikke
Kvinde,60,165,32,Ryger ikke
Kvinde,50,162,20,Ryger
Kvinde,60,155,34,Ryger
Kvinde,59,165,43,Ryger
Kvinde,47,152,67,Ryger
Mand,81,188,30,Ryger ikke
Kvinde,57,173,26,Ryger ikke
Mand,78,178,21,Ryger
Kvinde,73,170,26,Ryger
Mand,71,177,18,Ryger ikke
Mand,78,174,31,Ryger ikke
Kvinde,58,169,49,Ryger ikke
Kvinde,67,156,81,Ryger ikke
Kvinde,79,180,51,Ryger ikke
Mand,67,180,28,Ryger
Kvinde,64,168,25,Ryger ikke
Kvinde,54.5,168,22,Ryger ikke
Kvinde,65,170,31,Ryger ikke
Kvinde,60,160,57,Ryger ikke
Mand,70,187,22,Ryger
Mand,64,177,30,Ryger ikke
Kvinde,68,165,80,Ryger ikke
Kvinde,59,164,42,Ryger
Mand,65,178,21,Ryger ikke
Mand,92,200,39,Ryger
Kvinde,92,198,70,Ryger ikke
Kvinde,51,167,48,Ryger ikke
Kvinde,62,175,45,Ryger
Mand,101,178,47,Ryger ikke
NA,NA,NA,NA,NA
Mand,72,177,47,Ryger
Mand,98,177,61,Ryger
Kvinde,76,174,35,Ryger ikke
Kvinde,50,168,25,Ryger
Mand,73,180,31,Ryger
Kvinde,64,180,30,Ryger ikke
Mand,70,176,47,Ryger
Mand,75,181,27,Ryger
Kvinde,54,172,67,Ryger
Kvinde,53,165,49,Ryger
Mand,70,178,26,Ryger
Mand,76,184,28,Ryger
Kvinde,70,170,23,Ryger ikke
Kvinde,53,164,78,Ryger
Mand,66,174,31,Ryger ikke
Mand,85,181,29,Ryger ikke
Kvinde,54,173,23,Ryger ikke
Mand,74,185,32,Ryger ikke
Mand,93,189,57,Ryger
Mand,93,181,47,Ryger
Mand,84,191,38,Ryger ikke
Mand,73,183,57,Ryger
Kvinde,60,168,23,Ryger ikke
Mand,77,178,30,Ryger
Kvinde,60,164,49,Ryger ikke
Mand,88,188,43,Ryger
Kvinde,56,168.5,21,Ryger ikke
Mand,75,186,22,Ryger ikke
Mand,92,192,30,Ryger
Mand,73,182,25,Ryger
Mand,110,186,54,Ryger
Mand,62,165,51,Ryger
Kvinde,58,167,70,Ryger
